Postcode,Datum,Soort
1058,23-05-2023,Woninginbraak
1058,23-05-2023,Woninginbraak
1058,23-05-2023,Woninginbraak
1058,22-05-2023,Poging tot woninginbraak
1058,09-05-2023,Woninginbraak
1059,27-05-2023,Poging tot woninginbraak
1059,26-05-2023,Woninginbraak
1059,23-05-2023,Woninginbraak
1060,24-05-2023,Woninginbraak
1061,22-06-2023,Woninginbraak
1061,11-06-2023,Poging tot woninginbraak
1061,29-05-2023,Woninginbraak
1062,17-07-2023,Woninginbraak
1062,11-07-2023,Woninginbraak
1062,22-06-2023,Woninginbraak
1062,10-06-2023,Woninginbraak
1062,05-05-2023,Woninginbraak
1062,30-04-2023,Woninginbraak
1063,10-07-2023,Woninginbraak
1063,01-07-2023,Woninginbraak
1063,17-05-2023,Poging tot woninginbraak
1064,12-07-2023,Poging tot woninginbraak
1064,11-07-2023,Woninginbraak
1064,25-06-2023,Woninginbraak
1064,29-05-2023,Woninginbraak
1064,25-05-2023,Woninginbraak
1064,05-05-2023,Woninginbraak
1064,25-04-2023,Woninginbraak
1065,13-06-2023,Woninginbraak
1066,01-07-2023,Poging tot woninginbraak
1066,30-06-2023,Woninginbraak
1066,07-06-2023,Poging tot woninginbraak
1066,06-06-2023,Woninginbraak
1066,02-06-2023,Woninginbraak
1066,26-05-2023,Woninginbraak
1066,11-05-2023,Poging tot woninginbraak
1066,10-05-2023,Woninginbraak
1066,06-05-2023,Poging tot woninginbraak
1066,03-05-2023,Woninginbraak
1066,29-04-2023,Woninginbraak
1066,27-04-2023,Woninginbraak
1067,07-07-2023,Poging tot woninginbraak
1067,25-06-2023,Woninginbraak
1067,13-06-2023,Woninginbraak
1067,10-06-2023,Woninginbraak
1067,21-05-2023,Woninginbraak
1067,17-05-2023,Woninginbraak
1067,06-05-2023,Woninginbraak
1067,05-05-2023,Woninginbraak
1067,20-04-2023,Woninginbraak
1068,06-07-2023,Woninginbraak
1068,04-07-2023,Woninginbraak
1068,02-07-2023,Poging tot woninginbraak
1068,06-06-2023,Poging tot woninginbraak
1068,04-06-2023,Woninginbraak
1069,12-07-2023,Woninginbraak
1069,04-07-2023,Woninginbraak
1069,05-06-2023,Woninginbraak
1069,29-05-2023,Woninginbraak
1069,11-05-2023,Poging tot woninginbraak
1069,06-05-2023,Poging tot woninginbraak
1069,02-05-2023,Woninginbraak
1071,17-07-2023,Woninginbraak
1071,14-07-2023,Woninginbraak
1071,14-07-2023,Woninginbraak
1071,13-07-2023,Woninginbraak
1071,10-07-2023,Woninginbraak
1071,10-07-2023,Woninginbraak
1071,09-07-2023,Woninginbraak
1071,07-07-2023,Woninginbraak
1071,05-07-2023,Woninginbraak
1071,03-07-2023,Woninginbraak
1071,26-06-2023,Woninginbraak
1071,25-06-2023,Woninginbraak
1071,19-06-2023,Poging tot woninginbraak
1071,18-06-2023,Woninginbraak
1071,16-06-2023,Woninginbraak
1072,11-07-2023,Woninginbraak
1072,10-07-2023,Woninginbraak
1072,05-07-2023,Woninginbraak
1072,29-05-2023,Woninginbraak
1072,21-05-2023,Woninginbraak
1072,21-05-2023,Woninginbraak
1072,03-05-2023,Woninginbraak
1073,14-07-2023,Woninginbraak
1073,22-05-2023,Woninginbraak
1073,23-04-2023,Woninginbraak
1074,12-07-2023,Woninginbraak
1074,22-06-2023,Poging tot woninginbraak
1074,21-06-2023,Poging tot woninginbraak
1074,18-06-2023,Woninginbraak
1074,12-06-2023,Woninginbraak
1074,30-05-2023,Woninginbraak
1074,30-05-2023,Woninginbraak
1075,04-07-2023,Woninginbraak
1075,03-07-2023,Woninginbraak
1075,30-06-2023,Poging tot woninginbraak
1075,26-06-2023,Woninginbraak
1075,22-06-2023,Woninginbraak
1075,21-06-2023,Woninginbraak
1075,10-06-2023,Woninginbraak
1075,06-06-2023,Woninginbraak
1075,27-05-2023,Woninginbraak
1076,13-07-2023,Woninginbraak
1076,05-07-2023,Woninginbraak
1076,18-06-2023,Woninginbraak
1076,08-06-2023,Woninginbraak
1076,08-05-2023,Woninginbraak
1077,19-07-2023,Woninginbraak
1077,14-07-2023,Woninginbraak
1077,13-07-2023,Poging tot woninginbraak
1077,12-07-2023,Poging tot woninginbraak
1077,05-07-2023,Woninginbraak
1077,01-07-2023,Woninginbraak
1077,23-06-2023,Woninginbraak
