Postcode,Datum,Soort
3708,11-06-2023,Woninginbraak
3708,10-05-2023,Woninginbraak
3708,04-05-2023,Woninginbraak
3708,25-04-2023,Woninginbraak
3709,21-05-2023,Poging tot woninginbraak
3712,14-06-2023,Woninginbraak
3721,15-07-2023,Woninginbraak
3721,02-07-2023,Woninginbraak
3721,03-06-2023,Woninginbraak
3721,04-05-2023,Woninginbraak
3721,29-04-2023,Woninginbraak
3721,28-04-2023,Poging tot woninginbraak
3721,27-04-2023,Woninginbraak
3721,24-04-2023,Poging tot woninginbraak
3721,24-04-2023,Poging tot woninginbraak
3722,23-05-2023,Poging tot woninginbraak
3722,22-05-2023,Woninginbraak
3723,27-06-2023,Woninginbraak
3723,20-06-2023,Woninginbraak
3723,04-06-2023,Woninginbraak
3723,29-05-2023,Woninginbraak
3723,29-05-2023,Woninginbraak
3723,04-05-2023,Woninginbraak
3723,04-05-2023,Woninginbraak
3731,17-07-2023,Woninginbraak
3731,30-06-2023,Woninginbraak
3731,27-06-2023,Woninginbraak
3731,25-05-2023,Woninginbraak
3731,16-05-2023,Woninginbraak
3731,01-05-2023,Poging tot woninginbraak
3732,28-04-2023,Woninginbraak
3734,12-06-2023,Woninginbraak
3734,29-05-2023,Poging tot woninginbraak
3734,25-05-2023,Woninginbraak
3735,27-04-2023,Woninginbraak
3737,22-06-2023,Woninginbraak
3737,14-06-2023,Poging tot woninginbraak
3737,08-06-2023,Poging tot woninginbraak
3737,23-05-2023,Woninginbraak
3738,17-05-2023,Woninginbraak
3739,06-05-2023,Poging tot woninginbraak
3742,31-05-2023,Woninginbraak
3743,10-07-2023,Woninginbraak
3743,13-06-2023,Woninginbraak
3743,05-06-2023,Woninginbraak
3743,07-05-2023,Poging tot woninginbraak
3744,02-06-2023,Woninginbraak
3749,31-05-2023,Woninginbraak
3749,27-05-2023,Woninginbraak
3752,14-06-2023,Woninginbraak
3752,24-05-2023,Woninginbraak
3763,19-07-2023,Woninginbraak
3763,27-06-2023,Woninginbraak
3765,16-07-2023,Woninginbraak
3765,15-06-2023,Woninginbraak
3765,09-05-2023,Woninginbraak
3766,06-06-2023,Woninginbraak
3768,11-06-2023,Poging tot woninginbraak
3768,01-06-2023,Poging tot woninginbraak
3768,10-05-2023,Woninginbraak
3769,12-07-2023,Woninginbraak
3769,30-04-2023,Poging tot woninginbraak
3771,13-06-2023,Poging tot woninginbraak
3771,29-05-2023,Woninginbraak
3772,08-07-2023,Poging tot woninginbraak
3772,28-06-2023,Woninginbraak
3774,25-04-2023,Woninginbraak
3781,17-07-2023,Woninginbraak
3781,03-07-2023,Woninginbraak
3781,19-06-2023,Woninginbraak
3781,14-06-2023,Woninginbraak
3791,03-07-2023,Woninginbraak
3791,02-07-2023,Poging tot woninginbraak
3791,26-06-2023,Woninginbraak
3791,19-06-2023,Poging tot woninginbraak
3791,12-06-2023,Woninginbraak
3791,31-05-2023,Woninginbraak
3794,05-06-2023,Woninginbraak
3811,10-07-2023,Woninginbraak
3812,10-07-2023,Woninginbraak
3812,24-06-2023,Woninginbraak
3812,15-06-2023,Woninginbraak
3812,09-06-2023,Poging tot woninginbraak
3812,05-06-2023,Woninginbraak
3812,03-06-2023,Poging tot woninginbraak
3812,22-05-2023,Woninginbraak
3812,27-04-2023,Poging tot woninginbraak
3814,14-07-2023,Woninginbraak
3814,30-04-2023,Woninginbraak
3814,30-04-2023,Woninginbraak
3815,14-07-2023,Woninginbraak
3815,01-05-2023,Woninginbraak
3815,01-05-2023,Woninginbraak
3816,09-07-2023,Woninginbraak
3816,16-06-2023,Poging tot woninginbraak
3816,15-06-2023,Woninginbraak
3816,27-05-2023,Woninginbraak
3816,01-05-2023,Woninginbraak
3816,29-04-2023,Woninginbraak
3817,06-07-2023,Woninginbraak
3817,01-06-2023,Woninginbraak
3817,31-05-2023,Poging tot woninginbraak
3818,15-07-2023,Poging tot woninginbraak
3818,15-07-2023,Woninginbraak
3818,11-07-2023,Woninginbraak
3818,02-07-2023,Poging tot woninginbraak
3818,02-07-2023,Woninginbraak
3818,02-07-2023,Woninginbraak
3818,15-06-2023,Woninginbraak
3818,01-06-2023,Woninginbraak
3818,01-05-2023,Woninginbraak
3822,15-05-2023,Woninginbraak
3823,06-06-2023,Poging tot woninginbraak
3824,19-07-2023,Poging tot woninginbraak
3824,25-05-2023,Woninginbraak
3824,22-05-2023,Woninginbraak
3825,03-07-2023,Woninginbraak
3826,07-07-2023,Poging tot woninginbraak
3828,14-06-2023,Woninginbraak
3828,26-05-2023,Woninginbraak
3831,22-06-2023,Woninginbraak
3831,01-06-2023,Poging tot woninginbraak
3831,04-05-2023,Woninginbraak
3832,01-07-2023,Woninginbraak
3832,22-05-2023,Woninginbraak
3833,30-05-2023,Woninginbraak
3834,12-05-2023,Woninginbraak
3834,05-05-2023,Woninginbraak
3835,19-05-2023,Woninginbraak
3841,17-06-2023,Woninginbraak
3841,15-06-2023,Woninginbraak
3841,27-05-2023,Woninginbraak
3842,06-05-2023,Woninginbraak
3842,23-04-2023,Poging tot woninginbraak
3843,03-07-2023,Woninginbraak
3843,17-06-2023,Woninginbraak
3843,17-06-2023,Woninginbraak
3844,18-06-2023,Woninginbraak
3844,22-05-2023,Woninginbraak
3844,03-05-2023,Woninginbraak
3844,02-05-2023,Woninginbraak
3845,06-06-2023,Poging tot woninginbraak
3845,16-05-2023,Woninginbraak
3845,15-05-2023,Woninginbraak
3845,09-05-2023,Woninginbraak
3848,06-05-2023,Woninginbraak
3851,22-04-2023,Poging tot woninginbraak
3853,03-05-2023,Woninginbraak
3861,09-07-2023,Woninginbraak
3861,15-06-2023,Poging tot woninginbraak
3862,18-07-2023,Woninginbraak
3862,17-06-2023,Woninginbraak
3863,19-07-2023,Poging tot woninginbraak
3863,16-07-2023,Woninginbraak
3863,14-07-2023,Woninginbraak
3863,13-07-2023,Poging tot woninginbraak
3863,10-07-2023,Woninginbraak
3863,02-05-2023,Poging tot woninginbraak
3863,27-04-2023,Woninginbraak
3863,26-04-2023,Woninginbraak
3871,29-06-2023,Poging tot woninginbraak
3871,19-05-2023,Woninginbraak
3881,09-06-2023,Poging tot woninginbraak
3881,20-05-2023,Poging tot woninginbraak
3881,25-04-2023,Woninginbraak
3882,06-07-2023,Woninginbraak
3882,16-06-2023,Poging tot woninginbraak
3882,06-06-2023,Woninginbraak
3882,15-05-2023,Woninginbraak
3882,05-05-2023,Woninginbraak
3882,04-05-2023,Woninginbraak
3882,03-05-2023,Woninginbraak
3882,28-04-2023,Woninginbraak
3882,28-04-2023,Woninginbraak
3901,13-07-2023,Woninginbraak
3901,07-06-2023,Woninginbraak
3902,11-07-2023,Poging tot woninginbraak
3902,23-06-2023,Poging tot woninginbraak
3902,21-06-2023,Woninginbraak
3902,01-05-2023,Woninginbraak
3903,24-06-2023,Woninginbraak
3904,17-07-2023,Woninginbraak
3904,15-06-2023,Poging tot woninginbraak
3904,06-06-2023,Woninginbraak
3905,07-06-2023,Woninginbraak
3905,02-06-2023,Woninginbraak
3905,29-05-2023,Poging tot woninginbraak
3905,02-05-2023,Woninginbraak
3905,22-04-2023,Woninginbraak
3905,21-04-2023,Woninginbraak
3906,30-06-2023,Poging tot woninginbraak
3911,16-07-2023,Woninginbraak
3911,16-06-2023,Woninginbraak
3911,12-06-2023,Woninginbraak
3921,10-06-2023,Woninginbraak
3925,11-07-2023,Woninginbraak
3925,02-06-2023,Poging tot woninginbraak
3925,30-04-2023,Woninginbraak
3927,09-05-2023,Woninginbraak
3931,31-05-2023,Poging tot woninginbraak
3931,26-05-2023,Woninginbraak
3931,05-05-2023,Poging tot woninginbraak
3931,01-05-2023,Poging tot woninginbraak
3941,12-07-2023,Woninginbraak
3941,11-06-2023,Woninginbraak
3941,11-06-2023,Woninginbraak
3941,05-06-2023,Woninginbraak
3941,27-05-2023,Woninginbraak
3941,23-05-2023,Woninginbraak
3941,20-05-2023,Woninginbraak
3945,01-05-2023,Poging tot woninginbraak
3947,09-06-2023,Poging tot woninginbraak
3947,02-06-2023,Woninginbraak
3947,01-05-2023,Poging tot woninginbraak
3947,29-04-2023,Woninginbraak
3951,26-06-2023,Woninginbraak
3951,21-05-2023,Poging tot woninginbraak
3951,20-05-2023,Woninginbraak
3956,16-06-2023,Poging tot woninginbraak
3956,16-06-2023,Woninginbraak
3956,06-06-2023,Woninginbraak
3958,20-06-2023,Woninginbraak
3958,23-05-2023,Woninginbraak
3959,07-06-2023,Woninginbraak
3959,27-04-2023,Woninginbraak
3961,29-05-2023,Woninginbraak
3962,29-05-2023,Woninginbraak
3962,28-04-2023,Poging tot woninginbraak
3971,09-07-2023,Woninginbraak
3971,28-06-2023,Woninginbraak
3971,17-06-2023,Poging tot woninginbraak
3971,21-05-2023,Poging tot woninginbraak
3971,21-05-2023,Poging tot woninginbraak
3971,01-05-2023,Woninginbraak
3971,22-04-2023,Woninginbraak
3972,19-07-2023,Woninginbraak
3972,29-05-2023,Woninginbraak
3972,27-04-2023,Woninginbraak
3981,04-06-2023,Poging tot woninginbraak
3981,05-05-2023,Woninginbraak
3981,25-04-2023,Poging tot woninginbraak
3984,31-05-2023,Woninginbraak
3984,21-05-2023,Woninginbraak
3985,04-06-2023,Woninginbraak
3991,13-07-2023,Poging tot woninginbraak
3991,21-06-2023,Woninginbraak
3991,08-06-2023,Woninginbraak
3991,06-06-2023,Poging tot woninginbraak
3991,04-05-2023,Woninginbraak
3991,27-04-2023,Woninginbraak
3992,20-06-2023,Poging tot woninginbraak
3993,29-06-2023,Poging tot woninginbraak
3993,27-06-2023,Poging tot woninginbraak
3994,17-06-2023,Poging tot woninginbraak
3994,03-06-2023,Poging tot woninginbraak
3994,07-05-2023,Poging tot woninginbraak
3994,29-04-2023,Poging tot woninginbraak
3995,27-06-2023,Woninginbraak
3998,14-07-2023,Woninginbraak
3999,06-06-2023,Woninginbraak
4001,15-07-2023,Woninginbraak
4001,12-07-2023,Woninginbraak
4001,24-06-2023,Poging tot woninginbraak
4001,22-06-2023,Poging tot woninginbraak
4001,21-06-2023,Woninginbraak
4001,29-05-2023,Woninginbraak
4003,21-05-2023,Woninginbraak
4005,05-05-2023,Poging tot woninginbraak
4007,18-07-2023,Woninginbraak
4014,19-06-2023,Woninginbraak
4021,08-07-2023,Woninginbraak
4033,16-07-2023,Woninginbraak
4033,26-06-2023,Poging tot woninginbraak
4033,12-06-2023,Poging tot woninginbraak
4043,19-07-2023,Woninginbraak
4043,13-07-2023,Woninginbraak
4043,13-07-2023,Woninginbraak
4043,24-06-2023,Woninginbraak
4051,18-06-2023,Woninginbraak
4053,01-07-2023,Woninginbraak
4101,18-07-2023,Woninginbraak
4101,03-07-2023,Woninginbraak
4101,02-06-2023,Woninginbraak
4102,07-07-2023,Poging tot woninginbraak
4105,01-06-2023,Woninginbraak
4105,06-05-2023,Woninginbraak
4112,06-07-2023,Woninginbraak
4112,26-05-2023,Poging tot woninginbraak
4112,13-05-2023,Poging tot woninginbraak
4117,25-05-2023,Woninginbraak
4121,02-06-2023,Woninginbraak
4128,07-05-2023,Woninginbraak
4131,19-06-2023,Woninginbraak
4132,14-05-2023,Poging tot woninginbraak
4141,17-07-2023,Woninginbraak
4142,04-07-2023,Woninginbraak
4142,02-06-2023,Woninginbraak
4143,09-06-2023,Woninginbraak
4143,26-05-2023,Woninginbraak
4143,03-05-2023,Woninginbraak
4153,19-06-2023,Woninginbraak
4156,18-07-2023,Poging tot woninginbraak
4158,29-06-2023,Woninginbraak
4161,11-07-2023,Woninginbraak
4161,12-06-2023,Woninginbraak
4163,19-05-2023,Woninginbraak
4175,22-04-2023,Woninginbraak
4191,17-07-2023,Poging tot woninginbraak
4191,10-06-2023,Woninginbraak
4191,08-06-2023,Poging tot woninginbraak
4191,21-05-2023,Woninginbraak
4191,27-04-2023,Woninginbraak
4191,21-04-2023,Woninginbraak
4194,01-06-2023,Woninginbraak
4194,29-05-2023,Woninginbraak
4196,10-05-2023,Poging tot woninginbraak
4201,12-07-2023,Woninginbraak
4201,06-05-2023,Poging tot woninginbraak
4204,19-07-2023,Woninginbraak
4204,05-06-2023,Poging tot woninginbraak
4204,26-05-2023,Poging tot woninginbraak
4205,06-06-2023,Poging tot woninginbraak
4205,07-05-2023,Woninginbraak
4206,23-06-2023,Poging tot woninginbraak
4207,21-05-2023,Woninginbraak
4207,19-05-2023,Woninginbraak
4207,15-05-2023,Woninginbraak
4208,03-05-2023,Woninginbraak
4209,22-04-2023,Poging tot woninginbraak
4214,08-06-2023,Woninginbraak
4225,26-06-2023,Woninginbraak
4231,28-04-2023,Poging tot woninginbraak
4231,25-04-2023,Woninginbraak
4231,25-04-2023,Woninginbraak
4231,20-04-2023,Woninginbraak
4254,16-07-2023,Woninginbraak
4254,09-07-2023,Woninginbraak
4254,13-06-2023,Woninginbraak
4254,12-06-2023,Woninginbraak
4254,08-05-2023,Poging tot woninginbraak
4254,03-05-2023,Woninginbraak
4254,01-05-2023,Poging tot woninginbraak
4254,01-05-2023,Woninginbraak
4254,30-04-2023,Poging tot woninginbraak
4254,30-04-2023,Poging tot woninginbraak
4254,30-04-2023,Woninginbraak
4254,29-04-2023,Woninginbraak
4254,29-04-2023,Woninginbraak
4255,15-05-2023,Woninginbraak
4261,04-07-2023,Woninginbraak
4261,25-05-2023,Poging tot woninginbraak
4285,09-07-2023,Woninginbraak
4286,17-05-2023,Woninginbraak
4301,25-05-2023,Woninginbraak
4301,16-05-2023,Woninginbraak
4301,09-05-2023,Woninginbraak
4301,09-05-2023,Woninginbraak
4311,09-06-2023,Woninginbraak
4328,06-07-2023,Woninginbraak
4328,01-06-2023,Poging tot woninginbraak
4331,09-07-2023,Woninginbraak
4336,12-05-2023,Poging tot woninginbraak
4337,07-06-2023,Woninginbraak
4337,04-05-2023,Woninginbraak
4341,13-06-2023,Poging tot woninginbraak
4374,04-05-2023,Woninginbraak
4381,10-07-2023,Woninginbraak
4381,02-07-2023,Woninginbraak
4381,25-06-2023,Woninginbraak
4381,17-05-2023,Woninginbraak
4382,10-07-2023,Poging tot woninginbraak
4382,14-05-2023,Poging tot woninginbraak
4388,16-05-2023,Woninginbraak
4401,12-07-2023,Woninginbraak
4411,26-05-2023,Poging tot woninginbraak
4414,17-05-2023,Woninginbraak
4416,07-05-2023,Poging tot woninginbraak
4424,18-06-2023,Woninginbraak
4424,30-05-2023,Woninginbraak
4424,24-04-2023,Woninginbraak
4431,10-07-2023,Woninginbraak
4444,10-07-2023,Woninginbraak
4451,17-06-2023,Woninginbraak
4453,10-05-2023,Poging tot woninginbraak
4456,17-05-2023,Woninginbraak
4461,26-06-2023,Poging tot woninginbraak
4461,11-05-2023,Woninginbraak
4461,10-05-2023,Woninginbraak
4461,01-05-2023,Poging tot woninginbraak
4461,28-04-2023,Woninginbraak
4461,26-04-2023,Woninginbraak
4462,12-05-2023,Poging tot woninginbraak
4462,11-05-2023,Woninginbraak
4462,05-05-2023,Woninginbraak
4463,07-06-2023,Woninginbraak
4465,29-04-2023,Woninginbraak
4481,13-07-2023,Poging tot woninginbraak
4481,24-04-2023,Woninginbraak
4486,17-05-2023,Poging tot woninginbraak
4493,17-06-2023,Woninginbraak
4493,11-06-2023,Poging tot woninginbraak
4501,20-06-2023,Woninginbraak
4506,12-06-2023,Woninginbraak
4515,11-05-2023,Woninginbraak
4521,24-06-2023,Woninginbraak
4521,07-06-2023,Woninginbraak
4524,07-05-2023,Poging tot woninginbraak
4532,21-06-2023,Poging tot woninginbraak
4532,14-06-2023,Poging tot woninginbraak
4532,08-06-2023,Poging tot woninginbraak
4532,05-06-2023,Poging tot woninginbraak
4532,19-05-2023,Woninginbraak
4532,11-05-2023,Woninginbraak
4532,10-05-2023,Woninginbraak
4532,27-04-2023,Poging tot woninginbraak
4532,26-04-2023,Woninginbraak
4532,20-04-2023,Poging tot woninginbraak
4532,20-04-2023,Woninginbraak
4535,21-06-2023,Poging tot woninginbraak
4535,20-06-2023,Poging tot woninginbraak
4535,16-06-2023,Woninginbraak
4535,14-06-2023,Poging tot woninginbraak
4535,26-05-2023,Woninginbraak
4535,12-05-2023,Poging tot woninginbraak
4535,04-05-2023,Poging tot woninginbraak
4535,04-05-2023,Woninginbraak
4535,29-04-2023,Woninginbraak
4535,20-04-2023,Poging tot woninginbraak
4536,15-06-2023,Woninginbraak
4536,27-04-2023,Poging tot woninginbraak
4542,09-05-2023,Poging tot woninginbraak
4551,08-06-2023,Poging tot woninginbraak
4554,08-05-2023,Woninginbraak
4561,11-07-2023,Woninginbraak
4567,08-05-2023,Woninginbraak
4571,18-06-2023,Woninginbraak
4571,16-05-2023,Woninginbraak
4571,12-05-2023,Poging tot woninginbraak
4576,28-05-2023,Woninginbraak
4587,09-05-2023,Woninginbraak
4611,01-07-2023,Poging tot woninginbraak
4611,29-06-2023,Woninginbraak
4611,27-06-2023,Woninginbraak
4611,07-05-2023,Woninginbraak
4613,19-07-2023,Woninginbraak
4613,14-07-2023,Woninginbraak
4613,12-05-2023,Poging tot woninginbraak
4617,25-04-2023,Woninginbraak
4621,11-05-2023,Woninginbraak
4621,08-05-2023,Poging tot woninginbraak
4622,08-06-2023,Woninginbraak
4623,09-07-2023,Woninginbraak
4623,20-04-2023,Woninginbraak
4624,07-07-2023,Woninginbraak
4624,28-06-2023,Woninginbraak
4624,23-06-2023,Woninginbraak
4624,21-04-2023,Woninginbraak
4635,13-05-2023,Woninginbraak
4635,13-05-2023,Woninginbraak
4641,11-06-2023,Woninginbraak
4641,10-06-2023,Poging tot woninginbraak
4641,10-06-2023,Woninginbraak
4661,03-06-2023,Woninginbraak
4661,24-04-2023,Woninginbraak
4661,23-04-2023,Poging tot woninginbraak
4671,04-05-2023,Woninginbraak
4681,08-05-2023,Woninginbraak
4691,27-04-2023,Poging tot woninginbraak
4701,24-06-2023,Woninginbraak
4701,09-05-2023,Woninginbraak
4702,17-07-2023,Woninginbraak
4702,06-05-2023,Woninginbraak
4702,27-04-2023,Woninginbraak
4703,10-07-2023,Woninginbraak
4706,07-07-2023,Woninginbraak
4707,19-07-2023,Woninginbraak
4707,08-07-2023,Woninginbraak
4707,04-07-2023,Woninginbraak
4707,01-07-2023,Woninginbraak
4708,06-07-2023,Woninginbraak
4708,20-04-2023,Woninginbraak
4709,16-06-2023,Woninginbraak
4709,16-06-2023,Woninginbraak
4709,25-05-2023,Woninginbraak
4711,30-05-2023,Woninginbraak
4711,22-05-2023,Woninginbraak
4714,04-07-2023,Woninginbraak
4714,25-05-2023,Woninginbraak
4715,07-05-2023,Woninginbraak
4715,26-04-2023,Woninginbraak
4721,07-07-2023,Woninginbraak
4721,23-05-2023,Woninginbraak
4724,23-04-2023,Woninginbraak
4726,26-06-2023,Woninginbraak
4731,09-07-2023,Woninginbraak
4731,25-06-2023,Woninginbraak
4731,24-06-2023,Woninginbraak
4731,24-06-2023,Woninginbraak
4731,16-05-2023,Woninginbraak
4731,13-05-2023,Woninginbraak
4731,13-05-2023,Woninginbraak
4731,06-05-2023,Woninginbraak
4731,04-05-2023,Woninginbraak
4735,15-05-2023,Poging tot woninginbraak
4741,06-06-2023,Woninginbraak
4741,19-05-2023,Woninginbraak
4744,04-06-2023,Woninginbraak
4751,23-04-2023,Woninginbraak
4754,31-05-2023,Woninginbraak
4754,02-05-2023,Woninginbraak
4761,19-07-2023,Woninginbraak
4761,13-07-2023,Woninginbraak
4761,04-05-2023,Woninginbraak
4771,12-05-2023,Woninginbraak
4794,18-07-2023,Woninginbraak
4797,08-05-2023,Woninginbraak
4811,06-07-2023,Woninginbraak
4811,26-05-2023,Poging tot woninginbraak
4811,19-05-2023,Woninginbraak
4812,13-06-2023,Woninginbraak
4813,02-06-2023,Poging tot woninginbraak
4813,30-05-2023,Poging tot woninginbraak
4813,10-05-2023,Woninginbraak
4814,03-06-2023,Poging tot woninginbraak
4814,08-05-2023,Poging tot woninginbraak
4814,01-05-2023,Woninginbraak
4814,28-04-2023,Woninginbraak
4816,29-04-2023,Woninginbraak
4817,20-06-2023,Woninginbraak
4817,12-05-2023,Woninginbraak
4818,11-07-2023,Poging tot woninginbraak
4818,08-06-2023,Poging tot woninginbraak
4818,15-05-2023,Poging tot woninginbraak
4818,14-05-2023,Poging tot woninginbraak
4822,06-06-2023,Poging tot woninginbraak
4822,23-04-2023,Woninginbraak
4822,23-04-2023,Woninginbraak
4822,23-04-2023,Woninginbraak
4823,29-06-2023,Woninginbraak
4827,01-06-2023,Poging tot woninginbraak
4834,26-06-2023,Woninginbraak
4834,18-06-2023,Woninginbraak
4834,12-06-2023,Woninginbraak
4834,02-06-2023,Woninginbraak
4834,21-05-2023,Woninginbraak
4834,28-04-2023,Woninginbraak
4835,05-07-2023,Poging tot woninginbraak
4835,05-07-2023,Woninginbraak
4835,05-07-2023,Woninginbraak
4835,05-05-2023,Woninginbraak
4837,08-07-2023,Woninginbraak
4844,07-06-2023,Woninginbraak
4847,20-06-2023,Woninginbraak
4849,02-06-2023,Poging tot woninginbraak
4849,17-05-2023,Woninginbraak
4851,10-05-2023,Woninginbraak
4854,06-05-2023,Poging tot woninginbraak
4855,03-06-2023,Woninginbraak
4861,17-06-2023,Woninginbraak
4861,04-05-2023,Woninginbraak
4871,27-05-2023,Poging tot woninginbraak
4871,16-05-2023,Poging tot woninginbraak
4871,09-05-2023,Woninginbraak
4872,08-05-2023,Woninginbraak
4872,05-05-2023,Woninginbraak
4873,25-06-2023,Woninginbraak
4873,03-05-2023,Poging tot woninginbraak
4874,29-06-2023,Woninginbraak
4875,28-05-2023,Poging tot woninginbraak
4876,09-06-2023,Woninginbraak
4876,19-05-2023,Woninginbraak
4882,29-06-2023,Woninginbraak
4901,18-05-2023,Woninginbraak
4904,27-06-2023,Woninginbraak
4904,15-06-2023,Woninginbraak
4904,31-05-2023,Woninginbraak
4904,17-05-2023,Woninginbraak
4906,24-05-2023,Woninginbraak
4907,15-05-2023,Woninginbraak
4909,15-07-2023,Woninginbraak
4909,30-06-2023,Woninginbraak
4909,30-06-2023,Woninginbraak
4909,02-06-2023,Woninginbraak
4921,10-07-2023,Poging tot woninginbraak
4921,11-06-2023,Woninginbraak
4921,24-05-2023,Woninginbraak
4921,13-05-2023,Poging tot woninginbraak
4921,05-05-2023,Poging tot woninginbraak
4921,04-05-2023,Woninginbraak
4926,05-06-2023,Woninginbraak
4931,27-05-2023,Woninginbraak
4941,29-06-2023,Poging tot woninginbraak
4941,09-06-2023,Woninginbraak
4941,09-05-2023,Poging tot woninginbraak
4941,04-05-2023,Woninginbraak
4941,28-04-2023,Poging tot woninginbraak
4941,28-04-2023,Woninginbraak
5011,17-07-2023,Woninginbraak
5011,17-07-2023,Woninginbraak
5011,30-06-2023,Woninginbraak
5011,15-06-2023,Woninginbraak
5011,30-05-2023,Woninginbraak
5011,26-05-2023,Woninginbraak
5011,21-05-2023,Woninginbraak
5011,20-05-2023,Woninginbraak
5011,05-05-2023,Woninginbraak
5014,13-07-2023,Woninginbraak
5014,11-07-2023,Woninginbraak
5014,04-06-2023,Woninginbraak
5014,16-05-2023,Woninginbraak
5014,07-05-2023,Poging tot woninginbraak
5014,04-05-2023,Woninginbraak
5015,26-06-2023,Woninginbraak
5015,15-06-2023,Woninginbraak
5017,13-07-2023,Woninginbraak
5017,23-06-2023,Woninginbraak
5017,17-06-2023,Woninginbraak
5017,14-06-2023,Woninginbraak
5017,09-06-2023,Woninginbraak
5017,27-05-2023,Woninginbraak
5018,17-07-2023,Poging tot woninginbraak
5018,19-06-2023,Woninginbraak
5018,16-05-2023,Woninginbraak
5021,16-07-2023,Woninginbraak
5021,03-07-2023,Woninginbraak
5021,14-06-2023,Woninginbraak
5021,23-05-2023,Woninginbraak
5021,21-05-2023,Woninginbraak
5022,17-07-2023,Woninginbraak
5022,06-07-2023,Woninginbraak
5022,20-06-2023,Woninginbraak
5025,12-07-2023,Woninginbraak
5025,07-07-2023,Woninginbraak
5025,02-07-2023,Woninginbraak
5025,26-06-2023,Woninginbraak
5025,21-05-2023,Woninginbraak
5036,25-05-2023,Poging tot woninginbraak
5037,05-06-2023,Woninginbraak
5038,15-07-2023,Poging tot woninginbraak
5038,15-07-2023,Woninginbraak
5038,05-07-2023,Woninginbraak
5038,25-06-2023,Woninginbraak
5038,23-05-2023,Woninginbraak
5038,06-05-2023,Poging tot woninginbraak
5038,28-04-2023,Woninginbraak
5038,27-04-2023,Woninginbraak
5041,06-07-2023,Woninginbraak
5041,05-07-2023,Poging tot woninginbraak
5041,22-06-2023,Woninginbraak
5041,17-05-2023,Woninginbraak
5041,08-05-2023,Woninginbraak
5042,30-06-2023,Woninginbraak
5042,24-05-2023,Woninginbraak
5042,20-05-2023,Woninginbraak
5042,28-04-2023,Woninginbraak
5043,18-05-2023,Woninginbraak
5043,09-05-2023,Woninginbraak
5043,03-05-2023,Woninginbraak
5045,12-05-2023,Woninginbraak
5045,07-05-2023,Woninginbraak
5046,17-07-2023,Woninginbraak
5046,09-05-2023,Woninginbraak
5049,13-07-2023,Woninginbraak
5049,07-07-2023,Poging tot woninginbraak
5049,23-05-2023,Woninginbraak
5051,29-06-2023,Woninginbraak
5051,29-04-2023,Poging tot woninginbraak
5051,25-04-2023,Woninginbraak
5051,25-04-2023,Woninginbraak
5052,17-06-2023,Woninginbraak
5056,10-06-2023,Woninginbraak
5056,06-05-2023,Woninginbraak
5061,05-05-2023,Poging tot woninginbraak
5061,05-05-2023,Woninginbraak
5062,28-06-2023,Poging tot woninginbraak
5062,03-05-2023,Poging tot woninginbraak
5071,08-07-2023,Poging tot woninginbraak
5071,13-06-2023,Poging tot woninginbraak
5074,28-06-2023,Woninginbraak
5081,08-06-2023,Woninginbraak
5081,23-05-2023,Woninginbraak
5094,28-04-2023,Woninginbraak
5101,27-06-2023,Woninginbraak
5104,09-07-2023,Poging tot woninginbraak
5104,20-06-2023,Poging tot woninginbraak
5104,08-05-2023,Woninginbraak
5106,08-06-2023,Poging tot woninginbraak
5109,27-05-2023,Woninginbraak
5111,20-05-2023,Woninginbraak
5121,05-05-2023,Woninginbraak
5122,14-06-2023,Poging tot woninginbraak
5126,26-06-2023,Woninginbraak
5126,24-06-2023,Woninginbraak
5126,22-05-2023,Woninginbraak
5126,25-04-2023,Poging tot woninginbraak
5133,25-06-2023,Poging tot woninginbraak
5141,15-05-2023,Poging tot woninginbraak
5141,09-05-2023,Woninginbraak
5143,04-06-2023,Woninginbraak
5143,26-04-2023,Woninginbraak
5143,25-04-2023,Poging tot woninginbraak
5144,08-06-2023,Woninginbraak
5144,07-06-2023,Woninginbraak
5144,22-05-2023,Poging tot woninginbraak
5144,11-05-2023,Woninginbraak
5151,09-07-2023,Poging tot woninginbraak
5151,08-07-2023,Woninginbraak
5151,17-06-2023,Woninginbraak
5151,05-05-2023,Poging tot woninginbraak
5152,26-05-2023,Woninginbraak
5154,11-07-2023,Woninginbraak
5161,04-07-2023,Woninginbraak
5161,06-06-2023,Woninginbraak
5161,29-04-2023,Woninginbraak
5161,28-04-2023,Woninginbraak
5161,22-04-2023,Woninginbraak
5165,23-05-2023,Woninginbraak
5171,04-07-2023,Woninginbraak
5171,21-06-2023,Poging tot woninginbraak
5171,05-05-2023,Poging tot woninginbraak
5175,21-06-2023,Poging tot woninginbraak
5175,16-05-2023,Woninginbraak
5211,17-07-2023,Woninginbraak
5211,06-07-2023,Woninginbraak
5211,13-06-2023,Woninginbraak
5211,12-06-2023,Poging tot woninginbraak
5211,04-06-2023,Woninginbraak
5211,09-05-2023,Poging tot woninginbraak
5211,02-05-2023,Woninginbraak
5211,23-04-2023,Poging tot woninginbraak
5212,05-06-2023,Woninginbraak
5213,09-05-2023,Woninginbraak
5215,01-07-2023,Woninginbraak
5215,08-05-2023,Woninginbraak
5216,21-05-2023,Woninginbraak
